Name,Position,Position in DSAI
Ratnajit Bhattacharjee,"Professor, Department of Electronics and Electrical Engineering",head
Rhythm Grover,"Assistant Professor, Mehta Family School of Data Science and Artificial Intelligence",faculty
Debanga Raj Neog,"Assistant Professor, Mehta Family School of Data Science and Artificial Intelligence",faculty
Arghyadip Roy,"Assistant Professor, Mehta Family School of Data Science and Artificial Intelligence",faculty
Neeraj Kumar Sharma,"Assistant Professor, Mehta Family School of Data Science and Artificial Intelligence",faculty
Girish Sampath Setlur,"Professor, Department of Physics",assoc_faculty_list
M K Bhuyan,"Professor, Department of Electronics and Electrical Engineering",assoc_faculty_list
Prabirkumar Saha,"Professor, Chemical Engineering",assoc_faculty_list
Siddhartha Pratim Chakrabarty,"Professor, Department of Mathematics",assoc_faculty_list
Ashok Singh Sairam,"Professor, Department of Mathematics",assoc_faculty_list
Arabin Kumar Dey,"Associate Professor, Department of Mathematics",assoc_faculty_list
Ashish Anand,"Associate Professor, Department of Computer Science & Engineering",assoc_faculty_list
Biplab Bose,"Associate Professor, Department of Biosciences & Bioengineering",assoc_faculty_list
Gaurav Trivedi,"Associate Professor, Department of Electronics and Electrical Engineering",assoc_faculty_list
Sanasam Ranbir Singh,"Associate Professor, Department of Computer Science & Engineering",assoc_faculty_list
Suresh Sundaram,"Associate Professor, Department of Electronics and Electrical Engineering",assoc_faculty_list
Hanumant Singh Shekhawat,"Assistant Professor, Department of Electronics and Electrical Engineering",assoc_faculty_list
Prithwijit Guha,"Assistant Professor, Department of Electronics and Electrical Engineering",assoc_faculty_list
Souptick Chanda,"Assistant Professor, Department of Biosciences & Bioengineering",assoc_faculty_list
Devavrat Shah,"Distinguished Faculty, Mehta Family School of Data Science and Artificial Intelligence",distinguished_faculty
S Lakshmivarahan,"Distinguished Faculty, Mehta Family School of Data Science and Artificial Intelligence",distinguished_faculty
