1,2762,26,79,M K Bhuyan
2,1798,23,37,Prabirkumar Saha
3,620,13,21,Suresh Sundaram
4,2166,13,18,Sanasam Ranbir Singh
5,410,12,13,Ashok Sairam
6,140,7,5,Dr. Souptick Chanda
7,1190,17,44,ratnajit bhattacharjee
8,408,11,12,Siddhartha Pratim Chakrabarty
9,163,7,5,Hanumant Singh shekhawat
10,427,8,7,Arabin Kumar Dey
11,3683,28,54,S Lakshmivarahan
12,594,12,16,Prof. Gaurav Trivedi
13,43,4,1,Rhythm Grover
14,434,10,12,Debanga Raj Neog
15,458,13,16,Prithwijit Guha
16,20089,63,183,Devavrat Shah
17,483,8,8,Neeraj Kumar Sharma
18,272,8,7,Biplab Bose
19,165,8,6,Arghyadip Roy
20,2077,16,18,Ashish Anand
